address,balance,total_received,total_sent,n_tx,final_balance,unconfirmed_balance,final_n_tx,num_txrefs,total_confirmations,avg_tx_value,label,category
1AspSCA5QCJZc4vUuw5Qgg6hM5yP6WJUTK,0,9138661,9138661,23,0.0,0,23,24,10835451,761555.0833333334,1,gambling
1AsR5d8hwcMDUE9ukjnEsi7EGuRrvuvBE6,0,22809123,22809123,28,0.0,0,28,28,11161109,1629223.0714285714,0,exchange
1ASZ7pBXg3GTh2r82ypuGp9uiJ5of6Viay,0,5802406694,5802406694,113,0.0,0,113,114,64533836,101796608.66666669,0,coinjoin-like
1At6dnNz4TkZ2bEkz5HSmS6b1svVffppwA,0,4550000,4550000,4,0.0,0,4,4,1539853,2275000.0,0,exchange
1aTBBifXBC9FHFBQts1NawaG2rVfUeDvC,546,2184,1638,7,546.0,0,7,7,2668529,546.0,0,exchange
1ATJR2htyDBUmp1un69gobw3U8diWHk9QS,0,71055267,71055267,2,0.0,0,2,2,1005880,71055267.0,0,coinjoin-like
1ATQFFcH5TDPdhcAsCBzh3btfhVyTeWSRb,0,2205480932,2205480932,154,0.0,0,154,158,78178256,27917480.151898734,0,coinjoin-like
1ATSHAfqWDohPhaABk1RCZbUpBXvmqLj4i,0,531872902,531872902,4,0.0,0,4,4,2011821,265936451.0,0,coinjoin-like
1Au1ZUFUVLTwEjhyLYqfJ6YPJTyo29PVwQ,0,950000,950000,2,0.0,0,2,2,761112,950000.0,0,miner
1AuBekD38rgpkJeexSTr1xNuHkjw6Fvf4o,0,35060856,35060856,16,0.0,0,16,16,5174079,4382607.0,0,exchange
1AuchEjMDEEXxhf7JyDt8sZA9gpAVcpgbR,0,3780970,3780970,2,0.0,0,2,2,761604,3780970.0,0,miner
1AUCuMDUA5ZHpqb2RMwLSvmc1MGzgLviPj,0,59214963,59214963,53,0.0,0,53,56,18029766,2114820.1071428573,0,exchange
1AujtvyRz38QFdkcFdBWWDwmD46T4WDrAe,1638,2217793493,2217791855,29,1638.0,0,29,29,10324164,152951218.89655173,0,exchange
1AukAx4opw5eFtU4u95j4DbxYXvBDZCZnm,0,46178293,46178293,6,0.0,0,6,6,2274618,15392764.333333334,0,miner
1AuLU41oktxZrzf9EB1eq6pPM859eiyK1Z,0,864574,864574,2,0.0,0,2,2,761589,864574.0,0,miner
1AUsPjyLiTkHxrDia9LeqzzHfPioyZsGBy,0,74810600,74810600,4,0.0,0,4,4,2011909,37405300.0,0,coinjoin-like
1AuVPJZB9sCBwFSsa6GFxtot8hK27wgbmJ,0,40197552,40197552,14,0.0,0,14,14,4861740,5742507.428571428,1,gambling
1AuzgP4H7HbtqzRZuUevVsiSWUK4U47vvM,0,1638,1638,6,0.0,0,6,6,2290123,546.0,0,exchange
1AVBgxGsFrDd2Gb9b4wtFwkTokNjku2Lir,0,43647937,43647937,18,0.0,0,18,18,7118675,4849770.777777778,0,miner
1AVe93hgxocBKWUr91A6Gaf5THPgXJ4UF9,0,585300000,585300000,10,0.0,0,10,10,3796331,117060000.0,0,miner
1AvFfxNzEETxuxc7aZmavx7FBvanRxqD85,0,202355,202355,16,0.0,0,16,16,6118305,25294.375,0,miner
1AVPk7kudZFLeTJDnEKrxe2nEjnAo4deYa,0,132253817,132253817,26,0.0,0,26,26,6521838,10173370.538461538,0,miner
1Avr6fDSoL8HuPsPvv3qEDDnWxt8KgtwCE,0,51062854,51062854,12,0.0,0,12,12,4501514,8510475.666666666,0,exchange
1AvRtWJEsUFX7ET9KftYSL8EoTpNZ8uX8A,0,294829111,294829111,125,0.0,0,125,126,48270441,4679827.158730159,0,exchange
1AVv4EXw8Lz13puKVBR5voUk3vezYSK21H,0,32067184,32067184,10,0.0,0,10,10,3006080,6413436.8,0,miner
1AvxqvGeFQ9ge5WUYgHSbM1YR9SJY6Rf23,0,749068741,749068741,20,0.0,0,20,22,7441709,68097158.27272727,0,miner
