address,balance,total_received,total_sent,n_tx,final_balance,unconfirmed_balance,final_n_tx,num_txrefs,total_confirmations,avg_tx_value,label,category
12ciWG1Q4TJT6p95GmnC5UZNag4mnzoFot,0,2078680058,2078680058,1229,0,0,1229,200,85538942,2196463.59,1,gambling
12CT9X4CPaQUCgT7TAtAT3YD9AU7oGBPfJ,0,96450000,96450000,12,0,0,12,12,3811551,16075000.0,0,miner
12CY5Hq3J447wguFunpNpEQfH1t2jFEnBB,0,4287495519,4287495519,1871,0,0,1871,200,70976210,33905128.68,0,exchange
12CZeH2YsAPTMTq7sPD5vKoLtgXqzybpSf,0,515000,515000,2,0,0,2,2,760970,515000.0,0,services
12czYtf78s2nASAn9die67kHQ6oUpZhYZ4,0,40815510,40815510,124,0,0,124,172,88845435,474598.9534883721,1,gambling
12D5Ndbe7DpvZNAC46E7rXG1N7azBvMfrV,0,158775406,158775406,44,0,0,44,44,17722097,7217063.909090909,0,miner
12dH8JAPqFG71v72h9868SRJQHk6uETWco,0,345867432,345867432,4,0,0,4,4,1520160,172933716.0,0,exchange
12DJ5ooWS8q8NntRp1xRFKtX65DDi5bCtB,0,1284522,1284522,2,0,0,2,2,760982,1284522.0,0,miner
12dQHRD5RHZEnkduTbxVRhJ65xwbWxU3H4,0,979489,979489,2,0,0,2,2,761000,979489.0,0,exchange
12dqq7KVG8AqfKWAJMBfWzKvkNpyvuVcRL,0,815636837,815636837,40,0,0,40,46,17700932,35462471.17391305,0,exchange
12DtUTsim7vbuBMhP1xXpimcuWz37oPorL,0,10672721312,10672721312,82,0,0,82,90,53246505,237171584.7111111,0,coinjoin-like
12dTUUB7EGPCuZSsT4bwQCkpzngy3UMKN4,0,64588611,64588611,129,0,0,129,130,45055809,993670.9384615384,0,coinjoin-like
12DvEpkq4EmqtsStqzG58G3Vcw7XgKL9iR,0,888605,888605,2,0,0,2,2,760987,888605.0,0,miner
12Dxa8HNS4mf83xFeZX7vZRDvT6GgfFWqK,0,95500000,95500000,4,0,0,4,8,3023690,23875000.0,0,exchange
12E4kiKBcuyYVJnkXKgiV6g2wSBunQeZNf,0,660380000,660380000,6,0,0,6,8,3113058,165095000.0,0,exchange
12E7XYovp2entiVurJtg7sex6HXA1wVdvr,0,774865852,774865852,30,0,0,30,30,10752660,51657723.46666667,0,miner
12eHHysMHF8h19RtyqJAxfyNKCfv3eBSy1,851517,11651517,10800000,3,851517,0,3,3,1660350,7483839.0,0,services
12eJmYYF9FdiguH5hfKgzhzzKHHqEaAtCS,0,10643194,10643194,2,0,0,2,2,760991,10643194.0,0,miner
12eQD73shvMeTKiDmdHLoEGDnGxpgceK1t,0,2200000,2200000,2,0,0,2,2,761008,2200000.0,0,miner
12EriPrMBWot52n7rpAQTpzWNsp42wNBoK,0,5995979,5995979,2,0,0,2,2,760998,5995979.0,0,exchange
12f6ydep8y7TJ57AmjeAmRtKnvewAkVDqG,0,152371045,152371045,104,0,0,104,106,36961177,2874925.3773584906,0,miner
